method,seed,bo_iteration,selected_action_index,selected_action_x,observed_scalar_outcome,incumbent_before_observation,incumbent,noise_free_best_value_observed,simple_regret,t_0_10_status,t_0_10,active_factor_indices,M_t,N,active_factor_fraction,cumulative_factor_use_through_iteration,cumulative_final_active_factor_use,cumulative_factor_ratio_through_iteration,R_factors,raw_factor_likelihood_evaluation_count,decision_factor_likelihood_evaluation_count,heldout_factor_likelihood_evaluation_count,inference_sample_count,inference_ess,inference_ess_fraction,inference_wall_time_seconds,laplace_converged,laplace_mode_iterations,laplace_gradient_infinity_norm,maximum_split_half_ei_discrepancy,heldout_full_target_sample_count,heldout_full_target_ess,heldout_full_target_ess_fraction,heldout_full_target_wall_time_seconds,heldout_laplace_converged,heldout_laplace_mode_iterations,heldout_laplace_gradient_infinity_norm,heldout_maximum_split_half_ei_discrepancy,selected_action_acquisition_estimate,structural_bound_at_worst_challenger,empirical_inference_allowance,adaptive_heldout_full_target_acquisition_regret,numerical_accuracy_reliable,config_sha256,starting_git_commit,preference_bank_sha256,scalar_noise_sha256,screened_factor_source,scalar_observation_count
full,0,5,13,0.8125,0.7059402861962635,0.9953544694200632,0.9953544694200632,0.9882354306132825,0.0,reached,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",24,24,1.0,120,144,1.0,1.0,1573032,1573032,0,65536,65461.20032241015,0.9988586474977135,0.05362479202449322,True,3,4.1050496335515163e-13,9.302958701994535e-05,,,,,,,,,0.00020465659969155163,0.0,,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,8
full,0,6,9,0.5625,0.03473622746871463,0.9953544694200632,0.9953544694200632,0.9882354306132825,0.0,reached,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",24,24,1.0,144,144,1.0,1.0,1573032,1573032,0,65536,65467.01042527498,0.9989473026317593,0.05155983311124146,True,3,3.689271110829395e-13,7.294762236616959e-05,,,,,,,,,9.152010410891994e-05,0.0,,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,9
adaptive,0,1,3,0.1875,0.5246475482787409,0.2497805845436931,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23]",23,24,0.9583333333333334,23,127,0.9583333333333334,0.8819444444444444,6342696,4769664,1573032,16384,16349.398027407105,0.9978880631962345,0.43330021179281175,True,3,1.3988810110276972e-14,,65536,65396.6831952839,0.9978741942639755,0.06007575010880828,True,3,1.3034018309099338e-13,0.001634339776572201,0.11585337794111475,0.0,0.0,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,4
adaptive,0,2,5,0.3125,0.18906972650135637,0.5246475482787409,0.5246475482787409,0.5220877718429023,0.4661476587703801,not_reached,3,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23]",22,24,0.9166666666666666,45,127,0.9375,0.8819444444444444,5719925,4146893,1573032,16384,16354.555542587876,0.9982028529411545,0.3552814575377852,True,3,4.921618668163319e-13,,65536,65419.29527310983,0.9982192271897862,0.055420458083972335,True,3,5.484501741648273e-13,0.0004531045174428223,0.02075911283259138,0.0,0.0,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,5
adaptive,0,3,12,0.75,0.9953544694200632,0.5246475482787409,0.9953544694200632,0.9882354306132825,0.0,reached,3,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23]",22,24,0.9166666666666666,67,127,0.9305555555555556,0.8819444444444444,5719907,4146875,1573032,16384,16359.172821988117,0.9984846693107982,0.35837079118937254,True,3,5.276890036043369e-13,,65536,65436.87447489529,0.9984874645217177,0.054472000105306506,True,3,1.532107773982716e-13,0.0004633299581587383,0.0086372594002141,7.092169924065594e-05,0.0018304251878625286,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,6
adaptive,0,4,11,0.6875,0.5551402452511168,0.9953544694200632,0.9953544694200632,0.9882354306132825,0.0,reached,3,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23]",22,24,0.9166666666666666,89,127,0.9270833333333334,0.8819444444444444,5719913,4146881,1573032,16384,16362.528829470995,0.9986895037518918,0.35957349720411,True,3,5.48172618408671e-13,,65536,65454.22437449578,0.9987522029799771,0.05534979118965566,True,3,5.390132784555135e-13,7.023361317323425e-05,0.0008591802997415934,0.0,0.0,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,7
adaptive,0,5,13,0.8125,0.7059402861962635,0.9953544694200632,0.9953544694200632,0.9882354306132825,0.0,reached,3,"[0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 22, 23]",20,24,0.8333333333333334,109,127,0.9083333333333333,0.8819444444444444,5015084,3442052,1573032,16384,16366.64682371348,0.9989408461739184,0.3291241673287004,True,3,2.549627176051672e-13,,65536,65462.60957729026,0.9988801510206644,0.05588345788419247,True,3,4.1050496335515163e-13,0.00012060626264776648,0.0002758739052152055,0.00022153478985051405,0.00011460852067307162,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,8
adaptive,0,6,0,0.0,0.002098736133679174,0.9953544694200632,0.9953544694200632,0.9882354306132825,0.0,reached,3,"[0, 2, 3, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 22, 23]",18,24,0.75,127,127,0.8819444444444444,0.8819444444444444,4375843,2802811,1573032,16384,16367.425511122381,0.9989883734815906,0.31175182992592454,True,3,4.447553436648377e-13,,65536,65469.983860340835,0.9989926736502203,0.05219541606493294,True,3,3.689271110829395e-13,5.632143997845451e-05,9.84424997692963e-05,0.00021279586749468207,6.479811948545339e-05,4.3773714962838284e-05,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,f7a9394d567007916917c034f52c14ce1591ba530b4fc3e8bf855b03f226b295,0a4c42f5c33a8e7818680b2539b41399f32a747d686f70041a5ea2aacc63f769,historical_preference_bank_only,9
standard,1,1,1,0.0625,0.08429369470254913,0.2558262790720216,0.2558262790720216,0.258984272217597,0.7292511583956854,not_reached,7,[],0,24,0.0,0,0,0.0,0.0,0,0,0,0,,,0.0,,,,,,,,,,,,,0.05088257564993116,,,,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,4
standard,1,2,3,0.1875,0.5159708189063935,0.2558262790720216,0.5159708189063935,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,24,0.0,0,0,0.0,0.0,0,0,0,0,,,0.0,,,,,,,,,,,,,0.05088169531284139,,,,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,5
standard,1,3,4,0.25,0.5088409045192842,0.5159708189063935,0.5159708189063935,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,24,0.0,0,0,0.0,0.0,0,0,0,0,,,0.0,,,,,,,,,,,,,0.016461291546281613,,,,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,6
standard,1,4,5,0.3125,0.20661293096808891,0.5159708189063935,0.5159708189063935,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,24,0.0,0,0,0.0,0.0,0,0,0,0,,,0.0,,,,,,,,,,,,,0.016212452329834308,,,,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,7
standard,1,5,6,0.375,-0.011895335081644406,0.5159708189063935,0.5159708189063935,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,24,0.0,0,0,0.0,0.0,0,0,0,0,,,0.0,,,,,,,,,,,,,0.008573117001419793,,,,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,8
standard,1,6,15,0.9375,0.0064420507900116945,0.5159708189063935,0.5159708189063935,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,24,0.0,0,0,0.0,0.0,0,0,0,0,,,0.0,,,,,,,,,,,,,0.007897218156828024,,,,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,9
full,1,1,11,0.6875,0.5497227640021282,0.2558262790720216,0.5497227640021282,0.565131658509561,0.4231037721037214,not_reached,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",24,24,1.0,24,144,1.0,1.0,1573032,1573032,0,65536,65392.13965621299,0.9978048653596953,0.058171333046630025,True,3,1.7752466163756253e-13,0.0013524942012620722,,,,,,,,,0.10269781179099899,0.0,,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,4
full,1,2,12,0.75,0.9933240422968641,0.5497227640021282,0.9933240422968641,0.9882354306132825,0.0,reached,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",24,24,1.0,48,144,1.0,1.0,1573032,1573032,0,65536,65418.49250859047,0.9982069779753184,0.056994125014171004,True,3,3.5754732508053166e-13,0.0006680890077212717,,,,,,,,,0.019974751870514465,0.0,,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,5
full,1,3,13,0.8125,0.6884586551441864,0.9933240422968641,0.9933240422968641,0.9882354306132825,0.0,reached,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",24,24,1.0,72,144,1.0,1.0,1573032,1573032,0,65536,65426.38836209771,0.9983274591384538,0.05696654203347862,True,3,3.770872503139344e-13,5.9052905529378454e-05,,,,,,,,,0.0007781138934199684,0.0,,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,6
full,1,4,7,0.4375,-0.0338621028932186,0.9933240422968641,0.9933240422968641,0.9882354306132825,0.0,reached,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",24,24,1.0,96,144,1.0,1.0,1573032,1573032,0,65536,65442.33674481435,0.998570812146215,0.056373416911810637,True,3,4.1255887595070817e-13,6.534482394986125e-05,,,,,,,,,0.00019775404689258898,0.0,,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,7
full,1,5,16,1.0,-0.007731047663230774,0.9933240422968641,0.9933240422968641,0.9882354306132825,0.0,reached,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",24,24,1.0,120,144,1.0,1.0,1573032,1573032,0,65536,65464.24223891167,0.9989050634599559,0.056313500041142106,True,3,5.233591338082988e-13,4.53711864084807e-05,,,,,,,,,0.0001064038676227649,0.0,,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,8
full,1,6,9,0.5625,0.01679346627361513,0.9933240422968641,0.9933240422968641,0.9882354306132825,0.0,reached,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",24,24,1.0,144,144,1.0,1.0,1573032,1573032,0,65536,65474.24516381188,0.9990576959810162,0.05530429212376475,True,3,3.677613769070831e-13,3.113555050304397e-05,,,,,,,,,8.367439731479737e-05,0.0,,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,9
adaptive,1,1,11,0.6875,0.5497227640021282,0.2558262790720216,0.5497227640021282,0.565131658509561,0.4231037721037214,not_reached,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23]",23,24,0.9583333333333334,23,130,0.9583333333333334,0.9027777777777778,6096918,4523886,1573032,16384,16349.066809983959,0.99786784728906,0.3965010838583112,True,3,9.869882688917642e-14,,65536,65391.244954167756,0.9977912132899133,0.05739779211580753,True,3,1.7752466163756253e-13,0.0014761817769594898,0.10288411603905506,0.0,0.0,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,4
adaptive,1,2,12,0.75,0.9933240422968641,0.5497227640021282,0.9933240422968641,0.9882354306132825,0.0,reached,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23]",23,24,0.9583333333333334,46,130,0.9583333333333334,0.9027777777777778,6096936,4523904,1573032,16384,16353.721919043066,0.9981519725978434,0.3754593327175826,True,3,2.5052182550666657e-13,,65536,65419.56540646089,0.9982233490976088,0.05564316688105464,True,3,3.5754732508053166e-13,0.0003862784262393488,0.02023949667619503,0.0,0.0,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,5
adaptive,1,3,13,0.8125,0.6884586551441864,0.9933240422968641,0.9933240422968641,0.9882354306132825,0.0,reached,2,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23]",22,24,0.9166666666666666,68,130,0.9444444444444444,0.9027777777777778,5719943,4146911,1573032,16384,16355.954415888038,0.9982882333916039,0.3565768296830356,True,3,3.3534286458802853e-13,,65536,65419.94838276253,0.9982291928522115,0.05461045796982944,True,3,3.770872503139344e-13,3.911654551460198e-05,0.0005966929092400666,0.0,0.0,0.0,True,5c53c8de7144d1d0bc3a66b1ca4233b2c17811f726e977e1a5c90f103140b260,b68525952f58693461ac32d4658a8d611a594706,9de465191e8d846a5185f60df87436d40f8426634d451e934ab39e5928e180b5,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,6
