method,seed,bo_iteration,selected_action_index,selected_action_x,observed_scalar_outcome,incumbent_before_observation,incumbent,noise_free_best_value_observed,simple_regret,t_0_10_status,t_0_10,active_factor_indices,M_t,N,cumulative_factor_use_through_iteration,cumulative_final_active_factor_use,raw_factor_likelihood_evaluation_count,decision_factor_likelihood_evaluation_count,heldout_factor_likelihood_evaluation_count,inference_sample_count,inference_ess,inference_ess_fraction,inference_wall_time_seconds,heldout_full_target_sample_count,heldout_full_target_ess,heldout_full_target_ess_fraction,heldout_full_target_wall_time_seconds,selected_action_acquisition_estimate,structural_bound_at_worst_challenger,empirical_inference_allowance,adaptive_heldout_full_target_acquisition_regret,numerical_accuracy_reliable,config_sha256,starting_git_commit,preference_bank_sha256,scalar_noise_sha256,screened_factor_source,scalar_observation_count
adaptive,1,1,15,0.9375,0.0064420507900116945,0.2558262790720216,0.2558262790720216,0.258984272217597,0.7292511583956854,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,7,41,983290,458946,524344,16384,16370.779290952594,0.9991930719575558,0.129882542649284,65536,65483.29670842899,0.9991958115910186,0.040079624857753515,0.06650234205076623,0.0,0.0,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,4
adaptive,1,2,5,0.3125,0.20661293096808891,0.2558262790720216,0.2558262790720216,0.258984272217597,0.7292511583956854,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,14,41,983290,458946,524344,16384,16372.572430191301,0.9993025164911683,0.12894108286127448,65536,65491.208290754774,0.9993165327568783,0.03999754087999463,0.06425919461498153,0.0,0.0,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,5
adaptive,1,3,4,0.25,0.5088409045192842,0.2558262790720216,0.5088409045192842,0.5017397422557428,0.48649568835753965,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,21,41,983290,458946,524344,16384,16374.835822881074,0.9994406630176437,0.12913491833023727,65536,65502.262913748775,0.9994852129173092,0.040124000050127506,0.06237153098678843,2.0903316012624417e-05,0.00667122420636581,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,6
adaptive,1,4,3,0.1875,0.5159708189063935,0.5088409045192842,0.5159708189063935,0.5220877718429023,0.4661476587703801,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,28,41,983290,458946,524344,16384,16376.743609209634,0.999557105054299,0.12595466617494822,65536,65506.21815531644,0.9995455651140814,0.03918554214760661,0.013055247257756324,6.903802997579077e-05,0.0022846560237021855,9.163175842765228e-06,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,7
adaptive,1,5,13,0.8125,0.6884586551441864,0.5159708189063935,0.6884586551441864,0.69338852619193,0.2948469044213524,not_reached,6,"[0, 1, 3, 4, 5, 6, 7]",7,8,35,41,983290,458946,524344,16384,16377.870070602261,0.9996258588014075,0.12592912348918617,65536,65507.68230989055,0.9995679063398827,0.03879950009286404,0.012771476434800135,6.903802997579077e-05,0.0023142432732242736,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,8
adaptive,1,6,12,0.75,0.9933240422968641,0.6884586551441864,0.9933240422968641,0.9882354306132825,0.0,reached,6,"[0, 1, 4, 5, 6, 7]",6,8,41,41,868535,344191,524344,16384,16378.00298588249,0.9996339713063043,0.11575350211933255,65536,65513.57268866355,0.9996577863870781,0.039920083014294505,0.002982604738249393,7.297622624296063e-05,0.001541191676584265,0.0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,b2690863797b18ac3184a86a1e0d2e018f9eee0ea21c513336015f95dd166e40,6314cf07d75088169d437aa1a128d20d0f90c118eee523f4db454709ee2129c6,historical_preference_bank_only,9
standard,2,1,1,0.0625,0.0809465418652847,0.2412559451178716,0.2412559451178716,0.258984272217597,0.7292511583956854,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.05378531048573165,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,09fad27b0fc96f07a4be65975cc685fe6fbe3552ca86ca355418e54ef4673920,bbac455606db9b9c451cb8d931439b4c38bc529e8a199fbe2915fa841dba5401,historical_preference_bank_only,4
standard,2,2,3,0.1875,0.5039232162018262,0.2412559451178716,0.5039232162018262,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.05378402636609069,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,09fad27b0fc96f07a4be65975cc685fe6fbe3552ca86ca355418e54ef4673920,bbac455606db9b9c451cb8d931439b4c38bc529e8a199fbe2915fa841dba5401,historical_preference_bank_only,5
standard,2,3,4,0.25,0.4844756929429248,0.5039232162018262,0.5039232162018262,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.017447874982035247,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,09fad27b0fc96f07a4be65975cc685fe6fbe3552ca86ca355418e54ef4673920,bbac455606db9b9c451cb8d931439b4c38bc529e8a199fbe2915fa841dba5401,historical_preference_bank_only,6
standard,2,4,5,0.3125,0.21168718677081638,0.5039232162018262,0.5039232162018262,0.5220877718429023,0.4661476587703801,not_reached,7,[],0,8,0,0,0,0,0,0,,,0.0,,,,,0.016780591863131286,,,,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da,5f7f7cfa66f4d6ec33ebf5a5feb3d8f77ba2110a,09fad27b0fc96f07a4be65975cc685fe6fbe3552ca86ca355418e54ef4673920,bbac455606db9b9c451cb8d931439b4c38bc529e8a199fbe2915fa841dba5401,historical_preference_bank_only,7
