seed,factor_index,left_action_index,right_action_index,left_x,right_x,preference_sign,positive_sign_probability,preference_bank_sha256,generated_before_methods,config_sha256
6,0,0,16,0.0,1.0,1,0.5011851545994197,49f3fe734b2f6f1834db25fee67d1edf56e4d30cf8979923aebaa83316be3c01,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
6,1,1,15,0.0625,0.9375,-1,0.5317483238945183,49f3fe734b2f6f1834db25fee67d1edf56e4d30cf8979923aebaa83316be3c01,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
6,2,2,14,0.125,0.875,-1,0.5373945508626916,49f3fe734b2f6f1834db25fee67d1edf56e4d30cf8979923aebaa83316be3c01,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
6,3,3,13,0.1875,0.8125,-1,0.4291055887598706,49f3fe734b2f6f1834db25fee67d1edf56e4d30cf8979923aebaa83316be3c01,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
6,4,4,12,0.25,0.75,-1,0.30771447667049057,49f3fe734b2f6f1834db25fee67d1edf56e4d30cf8979923aebaa83316be3c01,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
6,5,5,11,0.3125,0.6875,1,0.3529330865142149,49f3fe734b2f6f1834db25fee67d1edf56e4d30cf8979923aebaa83316be3c01,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
6,6,6,10,0.375,0.625,-1,0.43851881525917097,49f3fe734b2f6f1834db25fee67d1edf56e4d30cf8979923aebaa83316be3c01,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
6,7,7,9,0.4375,0.5625,1,0.47416738616628856,49f3fe734b2f6f1834db25fee67d1edf56e4d30cf8979923aebaa83316be3c01,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
7,0,0,16,0.0,1.0,-1,0.5011851545994197,49f59da5e795efa4b2173cfe4490b604c90f246953f1b4d385c89829571be9b5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
7,1,1,15,0.0625,0.9375,1,0.5317483238945183,49f59da5e795efa4b2173cfe4490b604c90f246953f1b4d385c89829571be9b5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
7,2,2,14,0.125,0.875,1,0.5373945508626916,49f59da5e795efa4b2173cfe4490b604c90f246953f1b4d385c89829571be9b5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
7,3,3,13,0.1875,0.8125,-1,0.4291055887598706,49f59da5e795efa4b2173cfe4490b604c90f246953f1b4d385c89829571be9b5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
7,4,4,12,0.25,0.75,1,0.30771447667049057,49f59da5e795efa4b2173cfe4490b604c90f246953f1b4d385c89829571be9b5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
7,5,5,11,0.3125,0.6875,-1,0.3529330865142149,49f59da5e795efa4b2173cfe4490b604c90f246953f1b4d385c89829571be9b5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
7,6,6,10,0.375,0.625,1,0.43851881525917097,49f59da5e795efa4b2173cfe4490b604c90f246953f1b4d385c89829571be9b5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
7,7,7,9,0.4375,0.5625,-1,0.47416738616628856,49f59da5e795efa4b2173cfe4490b604c90f246953f1b4d385c89829571be9b5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
8,0,0,16,0.0,1.0,-1,0.5011851545994197,b0f5cb3c8a45e323df7fddacc18f48ef54577bf67472d6a3f448c099f7ce7db5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
8,1,1,15,0.0625,0.9375,1,0.5317483238945183,b0f5cb3c8a45e323df7fddacc18f48ef54577bf67472d6a3f448c099f7ce7db5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
8,2,2,14,0.125,0.875,-1,0.5373945508626916,b0f5cb3c8a45e323df7fddacc18f48ef54577bf67472d6a3f448c099f7ce7db5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
8,3,3,13,0.1875,0.8125,1,0.4291055887598706,b0f5cb3c8a45e323df7fddacc18f48ef54577bf67472d6a3f448c099f7ce7db5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
8,4,4,12,0.25,0.75,1,0.30771447667049057,b0f5cb3c8a45e323df7fddacc18f48ef54577bf67472d6a3f448c099f7ce7db5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
8,5,5,11,0.3125,0.6875,-1,0.3529330865142149,b0f5cb3c8a45e323df7fddacc18f48ef54577bf67472d6a3f448c099f7ce7db5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
8,6,6,10,0.375,0.625,-1,0.43851881525917097,b0f5cb3c8a45e323df7fddacc18f48ef54577bf67472d6a3f448c099f7ce7db5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
8,7,7,9,0.4375,0.5625,1,0.47416738616628856,b0f5cb3c8a45e323df7fddacc18f48ef54577bf67472d6a3f448c099f7ce7db5,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
9,0,0,16,0.0,1.0,1,0.5011851545994197,8ef8ba3883616095e6ec0ecc389e38d151a4fe90fadb8518776153ddc580fda0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
9,1,1,15,0.0625,0.9375,-1,0.5317483238945183,8ef8ba3883616095e6ec0ecc389e38d151a4fe90fadb8518776153ddc580fda0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
9,2,2,14,0.125,0.875,1,0.5373945508626916,8ef8ba3883616095e6ec0ecc389e38d151a4fe90fadb8518776153ddc580fda0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
9,3,3,13,0.1875,0.8125,1,0.4291055887598706,8ef8ba3883616095e6ec0ecc389e38d151a4fe90fadb8518776153ddc580fda0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
9,4,4,12,0.25,0.75,-1,0.30771447667049057,8ef8ba3883616095e6ec0ecc389e38d151a4fe90fadb8518776153ddc580fda0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
9,5,5,11,0.3125,0.6875,-1,0.3529330865142149,8ef8ba3883616095e6ec0ecc389e38d151a4fe90fadb8518776153ddc580fda0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
9,6,6,10,0.375,0.625,1,0.43851881525917097,8ef8ba3883616095e6ec0ecc389e38d151a4fe90fadb8518776153ddc580fda0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
9,7,7,9,0.4375,0.5625,-1,0.47416738616628856,8ef8ba3883616095e6ec0ecc389e38d151a4fe90fadb8518776153ddc580fda0,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
10,0,0,16,0.0,1.0,1,0.5011851545994197,07cd010f4c03298d5dd924ac0c0882359d38e44324cce9573944c2da07617648,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
10,1,1,15,0.0625,0.9375,-1,0.5317483238945183,07cd010f4c03298d5dd924ac0c0882359d38e44324cce9573944c2da07617648,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
10,2,2,14,0.125,0.875,1,0.5373945508626916,07cd010f4c03298d5dd924ac0c0882359d38e44324cce9573944c2da07617648,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
10,3,3,13,0.1875,0.8125,1,0.4291055887598706,07cd010f4c03298d5dd924ac0c0882359d38e44324cce9573944c2da07617648,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
10,4,4,12,0.25,0.75,-1,0.30771447667049057,07cd010f4c03298d5dd924ac0c0882359d38e44324cce9573944c2da07617648,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
10,5,5,11,0.3125,0.6875,1,0.3529330865142149,07cd010f4c03298d5dd924ac0c0882359d38e44324cce9573944c2da07617648,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
10,6,6,10,0.375,0.625,1,0.43851881525917097,07cd010f4c03298d5dd924ac0c0882359d38e44324cce9573944c2da07617648,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
10,7,7,9,0.4375,0.5625,-1,0.47416738616628856,07cd010f4c03298d5dd924ac0c0882359d38e44324cce9573944c2da07617648,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
11,0,0,16,0.0,1.0,1,0.5011851545994197,1ba049c4e6c48680712f2692817228fd64305db9ff48e8600ee5961fa9223d4f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
11,1,1,15,0.0625,0.9375,1,0.5317483238945183,1ba049c4e6c48680712f2692817228fd64305db9ff48e8600ee5961fa9223d4f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
11,2,2,14,0.125,0.875,1,0.5373945508626916,1ba049c4e6c48680712f2692817228fd64305db9ff48e8600ee5961fa9223d4f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
11,3,3,13,0.1875,0.8125,-1,0.4291055887598706,1ba049c4e6c48680712f2692817228fd64305db9ff48e8600ee5961fa9223d4f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
11,4,4,12,0.25,0.75,-1,0.30771447667049057,1ba049c4e6c48680712f2692817228fd64305db9ff48e8600ee5961fa9223d4f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
11,5,5,11,0.3125,0.6875,-1,0.3529330865142149,1ba049c4e6c48680712f2692817228fd64305db9ff48e8600ee5961fa9223d4f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
11,6,6,10,0.375,0.625,1,0.43851881525917097,1ba049c4e6c48680712f2692817228fd64305db9ff48e8600ee5961fa9223d4f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
11,7,7,9,0.4375,0.5625,1,0.47416738616628856,1ba049c4e6c48680712f2692817228fd64305db9ff48e8600ee5961fa9223d4f,True,4eafe727b67864632d25d30b526cbdb5c0a83989bf31e7b0cf41f7129c8a89da
